recipe_id,raw_material_id,raw_material_ratio,flavour_id,flavour_ratio,ingredient_id,ingredient_ratio,heat_process,yield,generation_date,batch_number
H917,58,0.22,421,0.56,226,0.22,Freezing for 20 min,98.97,10/5/24,1
TYDU,194,0.5,314,0.03,96,0.47,Freezing for 20 min,39.25,10/5/24,1
P5B5,163,0.93,299,0.06,34,0.01,,99.39,10/5/24,1
K6BN,149,0.47,314,0.48,101,0.05,70°C for 10 min,97.88,10/5/24,1
AFJM,180,0.26,396,0.69,79,0.05,,97.46,10/5/24,1
F82M,158,0.03,222,0.8,108,0.17,70°C for 10 min,91.36,10/5/24,1
AHD2,58,0.81,192,0.18,92,0.01,Steaming,95.03,10/5/24,1
NNQT,118,0.31,124,0.54,220,0.15,Freezing for 20 min,94.28,10/5/24,1
P4O0,168,0.29,179,0.65,29,0.06,,96.55,10/5/24,1
QBTO,39,0.42,317,0.52,151,0.06,,92.13,10/5/24,1
KHS4,34,0.96,179,0.03,192,0.01,Steaming,90.08,10/5/24,1
76SB,33,0.59,154,0.04,88,0.37,,93.35,10/5/24,1
EUW6,43,0.09,341,0.52,94,0.39,,36.48,10/5/24,1
O0KR,19,0.11,372,0.5,69,0.39,,93.56,10/5/24,1
KHEH,167,0.59,293,0.4,48,0.01,70°C for 10 min,91.79,10/5/24,1
U8CF,167,0.91,270,0.08,106,0.01,,95.27,10/5/24,1
VZ7E,31,0.01,427,0.61,29,0.38,50°C for 10 min,92.44,10/5/24,1
38VQ,144,0.37,73,0.61,232,0.02,,92.13,10/5/24,1
QJ7T,129,0.77,347,0.22,69,0.01,,90.66,10/5/24,1
MYYV,55,0.32,37,0.67,285,0.01,50°C for 10 min,96.9,10/5/24,1
BIGS,45,0.27,436,0.6,273,0.13,,94.52,10/5/24,1
ZSN9,48,0.65,361,0.34,50,0.01,,94.82,10/5/24,1
D1TD,148,0.33,399,0.15,137,0.52,,94.63,10/5/24,1
OIRF,66,0.24,455,0.19,195,0.57,,98.52,10/5/24,1
15J0,56,0.7,283,0.29,291,0.01,,97.69,10/5/24,1
J6MG,6,0.37,176,0.62,89,0.01,,98.12,10/5/24,1
SPCL,185,0.05,60,0.94,38,0.01,,90.53,10/5/24,1
XMSQ,153,0.84,302,0.15,8,0.01,,94.22,10/5/24,1
6HMA,90,0.75,355,0.24,251,0.01,,90.74,10/5/24,1
VA4W,194,0.11,250,0.56,200,0.33,,93.4,10/5/24,1
8U0R,60,0.65,479,0.09,153,0.26,70°C for 10 min,92.32,10/5/24,1
JKKY,142,0.24,406,0.5,135,0.26,Steaming,93.49,10/5/24,1
CU5F,63,0.41,140,0.45,201,0.14,20°C for 60 min,97.12,10/5/24,1
09GR,65,0.47,311,0.52,205,0.01,50°C for 10 min,99.89,10/5/24,1
ZCJA,169,0.14,278,0.85,156,0.01,,98.13,10/5/24,1
BHQB,162,0.28,12,0.03,129,0.69,,96.27,10/5/24,1
CTO5,60,0.81,336,0.18,15,0.01,Steaming,92.32,10/5/24,1
LTWN,13,0.82,24,0.17,115,0.01,,32.73,10/5/24,1
DUGC,77,0.69,63,0.3,241,0.01,,94.6,10/5/24,1
XHIB,155,0.67,446,0.32,154,0.01,,90.08,10/5/24,1
XW2D,18,0.6,443,0.39,109,0.01,,99.72,10/5/24,1
O6SK,141,0.66,260,0.33,32,0.01,,90.56,10/5/24,1
RE7V,181,0.85,54,0.14,3,0.01,,91.19,10/5/24,1
3TYU,39,0.38,409,0.35,187,0.27,,96.31,10/5/24,1
IPNJ,173,0.28,55,0.66,15,0.06,,96.74,10/5/24,1
IR31,12,0.53,13,0.46,178,0.01,,93.44,10/5/24,1
STVT,140,0.14,470,0.67,137,0.19,,97.75,10/5/24,1
JF2W,164,0.77,238,0.22,102,0.01,,90.74,10/5/24,1
I0KH,90,0.11,425,0.75,290,0.14,,71.59,10/5/24,1
C41K,45,0.06,27,0.08,44,0.86,,91.53,10/5/24,1
UFYI,190,0.39,155,0.52,283,0.09,,94.76,10/5/24,1
EJY0,6,0.96,139,0.03,282,0.01,,99.34,10/5/24,1
K38F,110,0.76,9,0.23,24,0.01,,95.65,10/5/24,1
V21G,78,0.06,387,0.43,228,0.51,,42.55,10/5/24,1
UNQC,90,0.76,429,0.23,177,0.01,,93.48,10/5/24,1
9CWA,106,0.85,480,0.14,36,0.01,,90.35,10/5/24,1
QZ48,105,0.63,237,0.36,189,0.01,,94.44,10/5/24,1
Z03P,45,0.81,324,0.18,183,0.01,Steaming,93.72,10/5/24,1
0CI6,143,0.38,467,0.08,155,0.54,,94.97,10/5/24,1
2JJM,6,0.14,129,0.62,232,0.24,,98.09,10/5/24,1
TOKK,6,0.51,437,0.48,223,0.01,20°C for 60 min,94.16,10/5/24,1
4GPV,90,0.07,47,0.44,11,0.49,,92.63,10/5/24,1
WW0H,107,0.9,13,0.09,35,0.01,Freezing for 20 min,91.12,10/5/24,1
RHSB,55,0.26,350,0.4,294,0.34,,96.96,10/5/24,1
QKW6,110,0.57,322,0.42,23,0.01,,94.19,10/5/24,1
IQ4P,100,0.16,415,0.24,123,0.6,Steaming,90.65,10/5/24,1
YFRK,74,0.09,405,0.19,10,0.72,,94.35,10/5/24,1
SQPY,136,0.97,17,0.02,60,0.01,,98.08,10/5/24,1
VB4W,198,0.2,362,0.39,217,0.41,70°C for 10 min,93.73,10/5/24,1
L9XE,94,0.69,98,0.03,296,0.28,,49.53,10/5/24,1
5ULK,162,0.2,220,0.62,83,0.18,,29.59,10/5/24,1
BJAN,48,0.5,271,0.49,132,0.01,,65.51,10/5/24,1
XC5Y,156,0.63,379,0.36,171,0.01,70°C for 10 min,91.29,10/5/24,1
V8YY,135,0.8,297,0.19,113,0.01,,96.05,10/5/24,1
XSCB,133,0.26,470,0.73,284,0.01,70°C for 10 min,94.47,10/5/24,1
SEH3,181,0.36,495,0.63,142,0.01,,94.83,10/5/24,1
QBYW,45,0.76,144,0.23,65,0.01,,98.63,10/5/24,1
BH9I,78,0.82,281,0.17,236,0.01,20°C for 60 min,96.24,10/5/24,1
HWR8,13,0.63,333,0.36,181,0.01,20°C for 60 min,90.49,10/5/24,1
61XC,146,0.35,35,0.02,74,0.63,20°C for 60 min,90.37,10/5/24,1
GBLI,168,0.84,231,0.15,174,0.01,,92.31,10/5/24,1
M2YT,80,0.02,441,0.31,297,0.67,,90.22,10/5/24,1
O43J,76,0.08,64,0.06,229,0.86,,99.5,10/5/24,1
U9T7,138,0.03,17,0.06,83,0.91,,92.92,10/5/24,1
4F71,12,0.02,87,0.93,141,0.05,,96.35,10/5/24,1
2G0G,60,0.26,130,0.23,95,0.51,Steaming,97.54,10/5/24,1
A5PQ,78,0.55,66,0.44,250,0.01,20°C for 60 min,46.63,10/5/24,1
701L,101,0.03,497,0.78,109,0.19,,91.19,10/5/24,1
V8T4,90,0.09,131,0.42,173,0.49,,95.04,10/5/24,1
52SH,45,0.11,208,0.79,296,0.1,Freezing for 20 min,98.71,10/5/24,1
0QYI,107,0.37,333,0.48,28,0.15,,93.36,10/5/24,1
C2PO,190,0.72,15,0.27,51,0.01,,96.26,10/5/24,1
4KH0,8,0.96,224,0.03,10,0.01,,95.54,10/5/24,1
98LS,143,0.2,26,0.76,140,0.04,50°C for 10 min,99.75,10/5/24,1
XM0M,129,0.49,369,0.25,28,0.26,,97.11,10/5/24,1
0X8X,190,0.25,467,0.16,195,0.59,Steaming,98.02,10/5/24,1
FHVO,134,0.43,355,0.02,23,0.55,,97.77,10/5/24,1
GVOR,129,0.08,216,0.91,89,0.01,,97.29,10/5/24,1
S10V,158,0.85,270,0.14,149,0.01,,92.86,10/5/24,1
SIRY,53,0.87,214,0.1,202,0.03,70°C for 10 min,92.42,10/5/24,1
57ZK,121,0.7,399,0.29,6,0.01,,52.6,10/5/24,1
DLTW,101,0.53,373,0.46,278,0.01,,98.88,10/5/24,1
AMSD,89,0.2,416,0.29,137,0.51,,91.41,10/5/24,1
0UYO,12,0.81,205,0.18,277,0.01,,98.62,10/5/24,1
PU3X,59,0.71,150,0.28,66,0.01,,96.45,10/5/24,1
NIAK,56,0.76,213,0.23,158,0.01,Steaming,90.72,10/5/24,1
BM58,146,0.43,76,0.15,30,0.42,70°C for 10 min,87.2,10/5/24,1
7B2H,189,0.23,250,0.27,7,0.5,,97.11,10/5/24,1
F95C,45,0.24,128,0.75,233,0.01,,93.22,10/5/24,1
1DHN,12,0.04,347,0.16,129,0.8,,92.68,10/5/24,1
UZE1,200,0.57,271,0.42,233,0.01,Freezing for 20 min,94.69,10/5/24,1
IE5V,144,0.82,477,0.17,78,0.01,70°C for 10 min,96.98,10/5/24,1
9B03,180,0.61,235,0.38,282,0.01,,97.33,10/5/24,1
UK1I,29,0.47,375,0.19,141,0.34,,94.26,10/5/24,1
1O4E,166,0.23,114,0.72,163,0.05,50°C for 10 min,99.3,10/5/24,1
K95P,167,0.09,212,0.8,195,0.11,,90.18,10/5/24,1
XIG1,31,0.58,74,0.28,272,0.14,,92.92,10/5/24,1
NM74,34,0.93,398,0.06,173,0.01,,91.59,10/5/24,1
OSSC,60,0.71,104,0.28,282,0.01,,90.03,10/5/24,1
J5PU,45,0.18,96,0.79,70,0.03,,91.16,10/5/24,1
WF5N,198,0.79,477,0.2,213,0.01,70°C for 10 min,94.49,10/5/24,1
9KZU,78,0.26,394,0.6,220,0.14,,98.7,10/5/24,1
DXCV,156,0.05,171,0.36,266,0.59,20°C for 60 min,97.92,10/5/24,1
EEDO,167,0.92,125,0.07,106,0.01,Steaming,69.86,10/5/24,1
D2LY,78,0.84,254,0.02,74,0.14,,90.01,10/5/24,1
Y6DJ,144,0.93,317,0.06,100,0.01,,91.39,10/5/24,1
R7X0,20,0.86,284,0.13,182,0.01,Steaming,93.42,10/5/24,1
WGWS,78,0.69,338,0.3,140,0.01,,65.61,10/5/24,1
WW42,198,0.94,136,0.05,175,0.01,,90.29,10/5/24,1
5IQE,36,0.18,128,0.08,285,0.74,,92.45,10/5/24,1
C20J,78,0.68,368,0.31,132,0.01,20°C for 60 min,93.2,10/5/24,1
N7VN,163,0.26,412,0.24,147,0.5,,92.91,10/5/24,1
ATBR,140,0.84,257,0.15,109,0.01,,98.65,10/5/24,1
PK4K,131,0.54,485,0.09,207,0.37,,94.79,10/5/24,1
PIGH,171,0.17,120,0.82,169,0.01,,90.24,10/5/24,1
X6EW,8,0.6,74,0.21,292,0.19,Freezing for 20 min,92.96,10/5/24,1
ZFM8,158,0.92,346,0.07,227,0.01,,90.06,10/5/24,1
Y3PM,179,0.13,280,0.5,149,0.37,Freezing for 20 min,98.61,10/5/24,1
BC66,5,0.77,294,0.22,214,0.01,,93.38,10/5/24,1
IT0E,112,0.82,468,0.17,129,0.01,,93.47,10/5/24,1
CNRH,74,0.85,421,0.14,262,0.01,20°C for 60 min,97.59,10/5/24,1
6XQ4,12,0.04,290,0.48,175,0.48,Freezing for 20 min,96.92,10/5/24,1
SCYL,83,0.82,279,0.17,31,0.01,Steaming,99.9,10/5/24,1
CP6I,134,0.69,187,0.3,227,0.01,,92.45,10/5/24,1
7TC9,188,0.11,50,0.67,211,0.22,,90.63,10/5/24,1
RLGP,128,0.31,275,0.09,51,0.6,,90.48,10/5/24,1
SJQD,172,0.88,375,0.11,34,0.01,,94.81,10/5/24,1
02KD,23,0.64,412,0.35,32,0.01,,93.43,10/5/24,1
CTAG,45,0.09,310,0.19,90,0.72,,93.25,10/5/24,1
RIXI,198,0.77,193,0.22,130,0.01,,95.29,10/5/24,1
6AUP,180,0.29,339,0.55,275,0.16,,97.87,10/5/24,1
09K7,45,0.08,125,0.78,220,0.14,,94.93,10/5/24,1
4XZX,128,0.52,400,0.47,31,0.01,Freezing for 20 min,91.71,10/5/24,1
QCKA,78,0.1,313,0.76,13,0.14,Freezing for 20 min,94.18,10/5/24,1
AFUN,90,0.57,211,0.32,271,0.11,,95.37,10/5/24,1
M5ZI,173,0.3,352,0.69,103,0.01,,97.58,10/5/24,1
J2QW,149,0.15,368,0.18,115,0.67,,98.91,10/5/24,1
KVMU,45,0.85,269,0.14,136,0.01,,90.39,10/5/24,1
FMNC,66,0.97,439,0.02,196,0.01,,95.61,10/5/24,1
KXCC,59,0.62,366,0.37,29,0.01,20°C for 60 min,92.05,10/5/24,1
6WEN,161,0.75,442,0.24,171,0.01,,93.99,10/5/24,1
K4FB,93,0.83,463,0.16,92,0.01,,54.45,10/5/24,1
9PAB,197,0.82,126,0.17,272,0.01,20°C for 60 min,99.91,10/5/24,1
19EZ,167,0.77,433,0.22,42,0.01,,92.92,10/5/24,1
8YUE,45,0.13,274,0.18,167,0.69,Steaming,98,10/5/24,1
UDNV,162,0.84,266,0.15,283,0.01,50°C for 10 min,91.97,10/5/24,1
BY36,98,0.68,339,0.13,34,0.19,Steaming,93.94,10/5/24,1
CAX0,49,0.84,196,0.15,259,0.01,,99.75,10/5/24,1
USDA,78,0.77,144,0.22,121,0.01,,98.64,10/5/24,1
VRSI,198,0.97,337,0.02,59,0.01,,99.94,10/5/24,1
932L,92,0.52,311,0.47,198,0.01,,99.89,10/5/24,1
9U3P,145,0.96,158,0.03,216,0.01,Steaming,66.06,10/5/24,1
I338,90,0.35,82,0.64,183,0.01,,91.26,10/5/24,1
U8FG,78,0.9,370,0.09,237,0.01,,98.39,10/5/24,1
3SVG,165,0.42,424,0.57,193,0.01,Freezing for 20 min,96.92,10/5/24,1
00XU,170,0.73,477,0.26,136,0.01,70°C for 10 min,99.37,10/5/24,1
B9SG,12,0.35,272,0.26,229,0.39,,95.83,10/5/24,1
L0Y8,56,0.58,421,0.41,222,0.01,,93.59,10/5/24,1
H8VW,98,0.92,219,0.07,236,0.01,,50.54,10/5/24,1
VLRI,66,0.68,204,0.31,163,0.01,,93.72,10/5/24,1
I07Z,162,0.69,146,0.3,117,0.01,,93.44,10/5/24,1
0WPM,22,0.87,141,0.12,232,0.01,,97.64,10/5/24,1
GLV3,165,0.62,101,0.37,281,0.01,,93.02,10/5/24,1
VCJL,127,0.27,181,0.15,254,0.58,,95.59,10/5/24,1
4GPH,59,0.19,468,0.36,81,0.45,,93.75,10/5/24,1
AU3P,73,0.28,294,0.1,126,0.62,,96.94,10/5/24,1
D8CL,40,0.49,136,0.3,103,0.21,,90.7,10/5/24,1
2M07,49,0.89,209,0.1,192,0.01,20°C for 60 min,92.93,10/5/24,1
YPC4,144,0.85,179,0.14,185,0.01,50°C for 10 min,91.53,10/5/24,1
NGPZ,78,0.16,378,0.07,239,0.77,,98.5,10/5/24,1
7NI4,144,0.63,162,0.08,297,0.29,50°C for 10 min,91.7,10/5/24,1
69E2,100,0.04,176,0.85,116,0.11,,98.84,10/5/24,1
E55D,30,0.64,421,0.35,141,0.01,,93.64,10/5/24,1
4B6X,96,0.72,292,0.27,26,0.01,,96.5,10/5/24,1
5X50,154,0.62,446,0.3,191,0.08,Steaming,95.25,10/5/24,1
PE5S,61,0.52,104,0.1,110,0.38,Freezing for 20 min,94.06,10/5/24,1
B6II,135,0.24,62,0.64,16,0.12,,98.21,10/5/24,1
U8TE,44,0.77,158,0.22,289,0.01,20°C for 60 min,73.83,10/5/24,1
3OP0,27,0.12,191,0.63,59,0.25,20°C for 60 min,45.08,10/5/24,1
VCUM,77,0.21,290,0.66,23,0.13,20°C for 60 min,98.95,10/5/24,1
M41B,78,0.75,75,0.24,29,0.01,,99.81,10/5/24,1
GAH3,156,0.2,365,0.19,209,0.61,20°C for 60 min,94.16,10/5/24,1
KKT1,90,0.1,203,0.38,186,0.52,70°C for 10 min,61.11,10/5/24,1
GONB,13,0.19,261,0.56,5,0.25,,96.61,10/5/24,1
TP0X,131,0.48,55,0.51,250,0.01,,98.14,10/5/24,1
A8YT,90,0.03,271,0.59,247,0.38,,98.32,10/5/24,1
308Z,70,0.65,312,0.34,175,0.01,,90.16,10/5/24,1
ASEB,166,0.72,253,0.27,147,0.01,,99.56,10/5/24,1
CRBJ,32,0.3,30,0.69,28,0.01,,97.01,10/5/24,1
F0PM,187,0.87,352,0.12,161,0.01,,96.21,10/5/24,1
FX3W,70,0.71,41,0.06,297,0.23,50°C for 10 min,90.26,10/5/24,1
M5K9,90,0.84,167,0.15,268,0.01,,98.28,10/5/24,1
HJ31,191,0.08,337,0.74,188,0.18,Steaming,95.16,10/5/24,1
A49B,156,0.61,406,0.38,19,0.01,Freezing for 20 min,95.67,10/5/24,1
D7G9,12,0.13,66,0.55,213,0.32,Freezing for 20 min,90.8,10/5/24,1
F8ZF,117,0.08,323,0.11,296,0.81,Freezing for 20 min,93.15,10/5/24,1
GS41,64,0.43,275,0.56,272,0.01,50°C for 10 min,99.99,10/5/24,1
ENJJ,98,0.12,485,0.27,213,0.61,,90.94,10/5/24,1
OW2G,151,0.69,311,0.3,115,0.01,,92.72,10/5/24,1
AU7T,95,0.44,115,0.23,145,0.33,,96.9,10/5/24,1
WW9H,12,0.88,17,0.11,31,0.01,20°C for 60 min,95.27,10/5/24,1
UDKC,104,0.1,251,0.21,104,0.69,,90.69,10/5/24,1
6CQK,7,0.31,204,0.68,144,0.01,Steaming,92.52,10/5/24,1
YHPV,74,0.86,390,0.13,277,0.01,,93.85,10/5/24,1
GXVK,90,0.92,23,0.07,91,0.01,,90.16,10/5/24,1
UYWV,134,0.85,223,0.14,142,0.01,,98.69,10/5/24,1
7QU5,98,0.22,95,0.68,51,0.1,Freezing for 20 min,92.17,10/5/24,1
5GLL,31,0.83,112,0.16,7,0.01,Freezing for 20 min,97.87,10/5/24,1
CX3J,192,0.96,387,0.03,111,0.01,,98.71,10/5/24,1
4Y9V,136,0.04,208,0.57,275,0.39,,32.3,10/5/24,1
21FB,66,0.68,388,0.31,206,0.01,,91.25,10/5/24,1
M4N0,198,0.12,318,0.51,31,0.37,20°C for 60 min,90.24,10/5/24,1
3JQY,179,0.11,110,0.27,247,0.62,,93.69,10/5/24,1
MLXB,29,0.38,474,0.61,28,0.01,,92.76,10/5/24,1
L1DZ,137,0.06,490,0.46,274,0.48,,90.57,10/5/24,1
9GIC,112,0.29,490,0.7,66,0.01,,90.34,10/5/24,1
Q49Q,42,0.53,399,0.17,93,0.3,,97.34,10/5/24,1
AW1Z,45,0.9,207,0.07,20,0.03,,93.39,10/5/24,1
9S1E,113,0.49,214,0.44,27,0.07,Freezing for 20 min,97.47,10/5/24,1
RDJ4,67,0.56,88,0.03,109,0.41,50°C for 10 min,97.79,10/5/24,1
GK5N,167,0.07,37,0.9,127,0.03,Freezing for 20 min,95.23,10/5/24,1
SUKM,17,0.28,273,0.28,298,0.44,Steaming,99.17,10/5/24,1
XAPB,187,0.66,185,0.33,88,0.01,,95.81,10/5/24,1
KL3G,168,0.14,317,0.16,60,0.7,,91.95,10/5/24,1
YTF3,150,0.11,137,0.06,260,0.83,Steaming,95.77,10/5/24,1
RR1W,52,0.88,387,0.11,108,0.01,,93.94,10/5/24,1
L358,144,0.22,3,0.67,124,0.11,Steaming,95.72,10/5/24,1
XTPH,89,0.44,409,0.55,7,0.01,,97.87,10/5/24,1
2IIS,131,0.34,341,0.65,195,0.01,70°C for 10 min,93.98,10/5/24,1
ZJNV,65,0.93,156,0.06,144,0.01,Freezing for 20 min,95.69,10/5/24,1
LM86,167,0.03,465,0.44,153,0.53,Freezing for 20 min,91.84,10/5/24,1
YYJI,11,0.39,485,0.31,146,0.3,Freezing for 20 min,99.72,10/5/24,1
ZLHW,144,0.78,78,0.21,224,0.01,,93.71,10/5/24,1
URE6,167,0.35,443,0.64,2,0.01,,98.54,10/5/24,1
ITAS,135,0.81,48,0.18,248,0.01,Freezing for 20 min,92.29,10/5/24,1
6KHE,42,0.27,159,0.72,128,0.01,,46.74,10/5/24,1
FTBU,57,0.11,22,0.22,103,0.67,,93.88,10/5/24,1
HPXU,100,0.06,106,0.93,157,0.01,,92.82,10/5/24,1
IVRV,69,0.7,405,0.29,20,0.01,,92.17,10/5/24,1
YK8M,2,0.93,362,0.06,249,0.01,,95.46,10/5/24,1
L56F,11,0.35,280,0.26,188,0.39,20°C for 60 min,96.2,10/5/24,1
R1HE,157,0.16,467,0.42,258,0.42,,94.45,10/5/24,1
HDP8,14,0.69,476,0.3,115,0.01,,94.04,10/5/24,1
Z67U,191,0.35,219,0.64,139,0.01,,93.57,10/5/24,1
EVCU,90,0.33,131,0.47,226,0.2,Freezing for 20 min,92.33,10/5/24,1
WUR7,155,0.6,314,0.39,240,0.01,50°C for 10 min,92.23,10/5/24,1
0GR1,25,0.29,214,0.7,57,0.01,,97.99,10/5/24,1
64ZA,190,0.08,486,0.83,14,0.09,,96.89,10/5/24,1
KB24,9,0.8,430,0.19,20,0.01,,95.48,10/5/24,1
ML0H,12,0.42,144,0.57,196,0.01,,98.04,10/5/24,1
S4ZT,12,0.5,177,0.48,157,0.02,,96.18,10/5/24,1
7QI8,19,0.59,467,0.4,245,0.01,,98.18,10/5/24,1
GGP8,93,0.81,408,0.16,5,0.03,50°C for 10 min,91.66,10/5/24,1
0FDE,163,0.66,12,0.33,21,0.01,70°C for 10 min,98.59,10/5/24,1
X1E1,57,0.19,459,0.38,187,0.43,,98.6,10/5/24,1
MACU,152,0.28,181,0.65,271,0.07,20°C for 60 min,99.36,10/5/24,1
J2B1,159,0.16,213,0.27,147,0.57,,80.16,10/5/24,1
O5V2,185,0.76,370,0.23,279,0.01,,94.84,10/5/24,1
57EN,31,0.01,130,0.37,23,0.62,70°C for 10 min,97.79,10/5/24,1
0L7K,27,0.8,372,0.19,167,0.01,,97.83,10/5/24,1
0NSV,24,0.48,154,0.28,58,0.24,,94.05,10/5/24,1
4GA3,77,0.85,173,0.14,1,0.01,,99.82,10/5/24,1
JZHV,93,0.2,373,0.51,73,0.29,,98.36,10/5/24,1
MUMU,90,0.76,286,0.23,223,0.01,,31.3,10/5/24,1
Z201,50,0.31,439,0.31,190,0.38,50°C for 10 min,90.17,10/5/24,1
NW7L,128,0.74,440,0.25,19,0.01,50°C for 10 min,92.16,10/5/24,1
9PZ2,71,0.07,86,0.65,94,0.28,,93.64,10/5/24,1
YP49,78,0.71,329,0.28,264,0.01,70°C for 10 min,90.58,10/5/24,1
ZN7N,19,0.24,128,0.75,64,0.01,,97.96,10/5/24,1
PBJU,120,0.03,129,0.04,250,0.93,,93.53,10/5/24,1
PY0F,137,0.29,495,0.7,180,0.01,,98.05,10/5/24,1
UU1N,155,0.13,43,0.02,178,0.85,,96.81,10/5/24,1
W49J,184,0.66,41,0.33,166,0.01,,90.85,10/5/24,1
JZ6P,157,0.48,298,0.51,276,0.01,,99.38,10/5/24,1
W1E8,45,0.53,410,0.23,25,0.24,,95.45,10/5/24,1
OTEO,45,0.13,270,0.32,223,0.55,,92.94,10/5/24,1
15R5,187,0.12,470,0.65,155,0.23,,92.49,10/5/24,1
Z5XI,163,0.26,351,0.51,178,0.23,,96.82,10/5/24,1
UE6M,161,0.55,242,0.07,298,0.38,70°C for 10 min,97.38,10/5/24,1
YW57,145,0.64,84,0.1,85,0.26,70°C for 10 min,99.8,10/5/24,1
NDNG,53,0.28,192,0.63,63,0.09,,91.8,10/5/24,1
8JAU,169,0.21,101,0.51,142,0.28,Freezing for 20 min,96.73,10/5/24,1
K0YW,29,0.61,319,0.16,138,0.23,,90.34,10/5/24,1
RP0P,75,0.24,207,0.34,5,0.42,,97.71,10/5/24,1
S0ZP,74,0.4,53,0.35,141,0.25,,92.81,10/5/24,1
OMH2,112,0.3,332,0.38,167,0.32,Steaming,90.21,10/5/24,1
CSZU,90,0.19,442,0.6,25,0.21,,91.82,10/5/24,1
ZOZS,90,0.93,362,0.06,50,0.01,,96,10/5/24,1
TGBP,110,0.79,275,0.2,299,0.01,,90.82,10/5/24,1
Q2YH,83,0.69,227,0.3,184,0.01,,93.48,10/5/24,1
AICO,48,0.17,304,0.23,62,0.6,70°C for 10 min,92.7,10/5/24,1
Y67H,139,0.73,137,0.03,243,0.24,,42.66,10/5/24,1
OIGA,163,0.04,270,0.24,240,0.72,,96.86,10/5/24,1
J1GX,90,0.07,394,0.58,236,0.35,,92.35,10/5/24,1
VYAJ,135,0.35,413,0.64,157,0.01,,98.49,10/5/24,1
3FEE,105,0.25,334,0.67,291,0.08,,99.8,10/5/24,1
OQOV,12,0.36,91,0.61,81,0.03,20°C for 60 min,91.36,10/5/24,1
8ZHP,85,0.37,99,0.62,159,0.01,,91.45,10/5/24,1
AAAW,3,0.93,318,0.06,136,0.01,,97.71,10/5/24,1
9X3G,139,0.12,33,0.1,171,0.78,,65.94,10/5/24,1
NQK2,98,0.34,415,0.65,241,0.01,,95.57,10/5/24,1
TUXA,25,0.2,142,0.31,49,0.49,,98.2,10/5/24,1
VD3N,107,0.4,32,0.33,188,0.27,,91.85,10/5/24,1
P80J,183,0.58,62,0.2,296,0.22,,96.64,10/5/24,1
UDXI,72,0.71,143,0.13,170,0.16,,93.83,10/5/24,1
BX29,198,0.62,14,0.37,248,0.01,,56.46,10/5/24,1
8VOU,198,0.13,413,0.54,27,0.33,,93.87,10/5/24,1
4DD4,162,0.31,112,0.52,159,0.17,Steaming,96.26,10/5/24,1
GDZ8,167,0.92,427,0.07,295,0.01,,93.44,10/5/24,1
SY3A,81,0.57,422,0.01,12,0.42,,97.19,10/5/24,1
LVZU,79,0.31,149,0.61,39,0.08,,99.82,10/5/24,1
DXB3,198,0.47,76,0.38,66,0.15,,91.59,10/5/24,1
91XL,78,0.1,396,0.81,18,0.09,Freezing for 20 min,95.73,10/5/24,1
KJQR,17,0.41,373,0.43,78,0.16,Steaming,91.42,10/5/24,1
1SEQ,32,0.56,213,0.43,280,0.01,,95.72,10/5/24,1
T1TK,144,0.62,405,0.37,222,0.01,50°C for 10 min,90.77,10/5/24,1
CKV8,78,0.36,298,0.28,153,0.36,70°C for 10 min,91.07,10/5/24,1
YVK4,44,0.36,205,0.63,109,0.01,,94.68,10/5/24,1
3447,167,0.76,7,0.23,92,0.01,,98.69,10/5/24,1
GD4H,93,0.64,495,0.35,109,0.01,,98.96,10/5/24,1
HL4W,114,0.43,197,0.56,133,0.01,,90.57,10/5/24,1
DM6T,32,0.59,247,0.4,205,0.01,,96.77,10/5/24,1
U19B,42,0.65,124,0.34,231,0.01,,96.37,10/5/24,1
LSCG,25,0.41,204,0.58,283,0.01,20°C for 60 min,98.66,10/5/24,1
RT6S,100,0.64,422,0.35,89,0.01,,93.72,10/5/24,1
NQ3T,159,0.37,274,0.62,85,0.01,70°C for 10 min,56.47,10/5/24,1
WNIW,148,0.74,436,0.13,290,0.13,,96.14,10/5/24,1
CP1V,51,0.16,23,0.13,151,0.71,Freezing for 20 min,99.44,10/5/24,1
2XNF,170,0.87,486,0.12,212,0.01,,93.05,10/5/24,1
1HGB,19,0.11,70,0.15,97,0.74,,95.14,10/5/24,1
89IW,21,0.37,420,0.25,112,0.38,20°C for 60 min,93.6,10/5/24,1
FMME,170,0.29,181,0.55,46,0.16,,94.42,10/5/24,1
CG2L,47,0.55,4,0.2,182,0.25,,95.34,10/5/24,1
25F4,144,0.29,398,0.7,35,0.01,,98.85,10/5/24,1
261G,3,0.83,377,0.16,28,0.01,20°C for 60 min,99.13,10/5/24,1
F6XV,16,0.53,471,0.05,35,0.42,Freezing for 20 min,91.05,10/5/24,1
K2Z8,125,0.21,269,0.25,268,0.54,,96.88,10/5/24,1
JABJ,39,0.78,383,0.21,157,0.01,,99.32,10/5/24,1
4F1F,8,0.13,103,0.08,284,0.79,,91.37,10/5/24,1
3STC,90,0.92,151,0.07,160,0.01,,91.13,10/5/24,1
GIQ0,69,0.88,105,0.11,243,0.01,70°C for 10 min,95.22,10/5/24,1
QLIZ,166,0.24,148,0.75,224,0.01,,97.53,10/5/24,1
642E,167,0.49,486,0.4,51,0.11,20°C for 60 min,97.45,10/5/24,1
